,ticker,date,previous close,closing,pe ratio
0,MSFT,2021-06-05 13:10:19.570653,245.71,250.79,34.18
1,AMZN,2021-06-05 13:10:21.239164,"3,187.01","3,206.22",61.00
2,GOOG,2021-06-05 13:10:23.073670,"2,404.61","2,451.76",32.67
3,FB,2021-06-05 13:10:24.715446,326.04,330.35,28.31
4,TSM,2021-06-05 13:10:26.401647,116.82,119.51,31.70
5,TSLA,2021-06-05 13:10:28.099323,572.84,599.05,600.25
6,BABA,2021-06-05 13:10:29.729290,217.04,219.02,25.69
7,JPM,2021-06-05 13:10:31.376598,166.17,166.44,13.20
8,V,2021-06-05 13:10:33.010543,228.11,230.14,47.57
9,JNJ,2021-06-05 13:10:34.650788,166.04,165.97,29.32
10,WMT,2021-06-05 13:10:36.203774,141.60,141.85,32.84
11,DIS,2021-06-05 13:10:37.917846,176.24,177.18,N/A
12,ADBE,2021-06-05 13:10:39.465160,493.14,504.50,43.92
